anno,settimana,numero_casi,incidenza,numero_assistiti,target
2025,43,791.0,8.97,88156,ARI
2025,44,954.0,9.27,102947,ARI
2025,45,964.0,9.14,105436,ARI
2025,46,996.0,8.83,112846,ARI
2025,47,1137.0,9.62,118176,ARI
2025,48,1264.0,10.94,115536,ARI
2025,49,1589.0,14.63,108611,ARI
2025,50,1824.0,17.41,104765,ARI
2025,51,1937.0,19.51,99268,ARI
2025,52,1321.0,14.02,94220,ARI
2026,1,840.0,13.0,64593,ARI
2026,2,1325.0,12.09,109563,ARI
2026,3,1263.0,11.68,108156,ARI
2026,4,1107.0,10.43,106187,ARI
2026,5,1006.0,9.41,106856,ARI
2026,6,911.0,8.24,110601,ARI
2026,7,856.0,7.29,117472,ARI
2026,08,596.0,6.43,92737,ARI
